2024-09-11 14:13:59,314 MotorDriver.cpp:44 [INFO] MAXON RxPDO are as follow: 
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] TrqOffset, INT, 28
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] ProfileVel, UDINT, 20
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] ProfileDec, UDINT, 16
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] TargetTrq, INT, 10
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] ProfileAcc, UDINT, 12
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] TargetVel, DINT, 2
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] TargetPos, DINT, 6
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] OperationMode, SINT, 30
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] InterpolationTime, UDINT, 35
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] PosOffset, DINT, 24
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] DigitalOutputs, UDINT, 31
2024-09-11 14:13:59,314 MotorDriver.cpp:46 [INFO] ControlWord, UINT, 0
2024-09-11 14:13:59,314 MotorDriver.cpp:48 [INFO] MAXON TxPDO are as follow: 
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] StatusWord, UINT, 0
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] ModeDisplay, SINT, 22
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] FollowingPosErr, DINT, 18
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] DigitalInputs, UDINT, 23
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] ErrorCode, UINT, 2
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] ActVel, DINT, 8
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] ActTrq, INT, 12
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] ActPos, DINT, 4
2024-09-11 14:13:59,314 MotorDriver.cpp:50 [INFO] ActCur, DINT, 14
2024-09-11 14:13:59,314 MotorDriver.cpp:1514 [INFO] EtherCat thread ID: 133587733055040
2024-09-11 14:14:06,587 MotorDriver.cpp:1504 [INFO]  Set promise value to true!
2024-09-11 14:14:06,588 microPlank.cpp:36 [INFO] EtherCat Communication thread status: 1

2024-09-11 14:14:06,588 MotorDriver.cpp:1143 [INFO] Starting initialize Motor Type 2: joint 1
2024-09-11 14:14:06,638 MotorDriver.cpp:1150 [INFO] 1: the control word is: 128 status word is: 0x240
2024-09-11 14:14:06,688 MotorDriver.cpp:1157 [INFO] 2: the control word is: 6 status word is: 0x 221
2024-09-11 14:14:06,738 MotorDriver.cpp:1164 [INFO] 3: the control word is: 7 status word is: 0x 223
2024-09-11 14:14:06,788 MotorDriver.cpp:1171 [INFO] 4: the control word is: f status word is: 0x 221f
2024-09-11 14:14:06,788 MotorDriver.cpp:1174 [INFO] successfully enable Motor Type2: joint 1
2024-09-11 14:14:06,838 FdOmega.cpp:61 [INFO] Start master handle thread: 
2024-09-11 14:14:07,654 FdOmega.cpp:17 [INFO] Initializing haptic device...
2024-09-11 14:14:10,008 FdOmega.cpp:55 [INFO] omega.7 (right-hand) device detected.
2024-09-11 14:14:10,008 MasterConsole.cpp:59 [INFO] Master handle thread (Omega) starts!
2024-09-11 14:14:10,008 MasterConsole.cpp:74 [INFO] MasterConsole Data Update thread ID: 797f4b400640
2024-09-11 14:14:10,009 microPlank.cpp:54 [INFO] Start teleoperation thread
2024-09-11 14:14:10,045 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,046 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,047 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,048 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,049 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,050 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,051 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,052 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,053 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,054 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,056 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,057 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,058 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,059 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,060 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,061 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,062 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,063 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,064 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,065 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,066 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,067 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,068 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,069 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,070 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,072 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,073 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,074 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,075 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,076 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,077 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,078 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,079 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,080 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,081 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,082 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,084 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,085 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,086 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,087 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,088 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,089 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,090 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,091 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,093 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,094 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,095 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,097 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,098 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,099 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,100 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,101 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,103 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,104 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,105 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,106 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,107 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,108 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,109 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,110 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,111 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,112 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,113 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,114 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,115 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,117 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,118 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,119 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,120 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,121 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,122 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,123 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,124 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,125 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,126 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,127 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,128 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,130 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,131 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,132 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,133 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,134 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,135 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,136 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,137 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,138 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,139 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,140 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,141 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,143 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,144 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,145 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,146 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,147 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,148 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,149 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,150 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,151 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,152 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,153 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,154 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,155 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,156 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,157 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,158 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,160 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,161 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,162 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,163 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,164 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,165 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,166 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,167 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,168 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,169 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,170 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,171 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,172 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,173 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,174 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,175 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,176 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,178 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,179 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,180 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,181 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,182 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,183 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,184 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,185 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,186 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,187 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,188 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,189 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,191 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,192 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,193 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,194 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,195 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,196 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,197 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,198 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,199 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,200 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,201 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,202 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,204 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,205 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,206 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,207 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,208 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,209 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,210 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,211 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,212 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,213 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,214 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
2024-09-11 14:14:10,215 MotorDriver.cpp:241 [ERROR] Error: The input motor type is undefined, please check motor type!
